,symbol,metric,value
6335,HPQ,1y Target Est,33.05
6336,HPQ,Symbol,Last Price
6337,HPQ,IBMInternational Business Machines Corporation,118.87
6338,HPQ,DELLDell Technologies Inc.,56.70
6339,HPQ,ORCLOracle Corporation,94.02
6340,HPQ,"CSCOCisco Systems, Inc.",57.27
6341,HPQ,HPEHewlett Packard Enterprise Company,14.70
6348,HUM,Previous Close,445.42
6349,HUM,Open,445.49
6350,HUM,Bid,0.00 x 800
6351,HUM,Ask,0.00 x 800
6352,HUM,Day's Range,437.52 - 445.49
6353,HUM,52 Week Range,370.22 - 475.44
6354,HUM,Volume,"602,861"
6355,HUM,Avg. Volume,"755,984"
6356,HUM,Market Cap,57.252B
6357,HUM,Beta (5Y Monthly),0.94
6358,HUM,PE Ratio (TTM),21.37
6359,HUM,EPS (TTM),20.51
6360,HUM,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
6361,HUM,Forward Dividend & Yield,2.80 (0.63%)
6362,HUM,Ex-Dividend Date,"Dec 30, 2021"
6363,HUM,1y Target Est,503.67
6364,HUM,Symbol,Last Price
6365,HUM,CICigna Corporation,215.53
6366,HUM,"ANTMAnthem, Inc.",434.39
6367,HUM,CNCCentene Corporation,75.10
6368,HUM,UNHUnitedHealth Group Incorporated,450.80
6369,HUM,"HCAHCA Healthcare, Inc.",242.56
6376,HBAN,Previous Close,16.25
6377,HBAN,Open,16.30
6378,HBAN,Bid,16.30 x 41800
6379,HBAN,Ask,16.55 x 2900
6380,HBAN,Day's Range,16.20 - 16.53
6381,HBAN,52 Week Range,11.58 - 16.91
6382,HBAN,Volume,"8,692,447"
6383,HBAN,Avg. Volume,"11,869,636"
6384,HBAN,Market Cap,23.809B
6385,HBAN,Beta (5Y Monthly),1.32
6386,HBAN,PE Ratio (TTM),18.45
6387,HBAN,EPS (TTM),0.89
6388,HBAN,Earnings Date,"Jan 20, 2022 - Jan 24, 2022"
6389,HBAN,Forward Dividend & Yield,0.62 (3.82%)
6390,HBAN,Ex-Dividend Date,"Dec 16, 2021"
6391,HBAN,1y Target Est,17.78
6392,HBAN,Symbol,Last Price
6393,HBAN,FITBFifth Third Bancorp,44.62
6394,HBAN,KEYKeyCorp,23.92
6395,HBAN,RFRegions Financial Corporation,24.24
6396,HBAN,CMAComerica Incorporated,89.58
6397,HBAN,"ZIONZions Bancorporation, National Association",66.35
6404,HII,Previous Close,192.02
6405,HII,Open,192.22
6406,HII,Bid,0.00 x 800
6407,HII,Ask,0.00 x 800
6408,HII,Day's Range,189.58 - 192.72
6409,HII,52 Week Range,156.36 - 224.13
6410,HII,Volume,"229,222"
6411,HII,Avg. Volume,"234,021"
6412,HII,Market Cap,7.693B
6413,HII,Beta (5Y Monthly),1.01
6414,HII,PE Ratio (TTM),11.42
6415,HII,EPS (TTM),16.67
6416,HII,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
6417,HII,Forward Dividend & Yield,4.72 (2.46%)
6418,HII,Ex-Dividend Date,"Nov 24, 2021"
6419,HII,1y Target Est,219.50
6420,HII,Symbol,Last Price
6421,HII,NOCNorthrop Grumman Corporation,360.00
6422,HII,"LDOSLeidos Holdings, Inc.",94.28
6423,HII,TDGTransDigm Group Incorporated,653.74
6424,HII,"LHXL3Harris Technologies, Inc.",221.23
6425,HII,ALLEAllegion plc,134.04
6432,IDXX,Previous Close,628.18
6433,IDXX,Open,627.56
6434,IDXX,Bid,590.00 x 1100
6435,IDXX,Ask,617.00 x 800
6436,IDXX,Day's Range,618.80 - 628.70
6437,IDXX,52 Week Range,443.14 - 706.95
6438,IDXX,Volume,"238,534"
6439,IDXX,Avg. Volume,"382,941"
6440,IDXX,Market Cap,52.484B
6441,IDXX,Beta (5Y Monthly),0.93
6442,IDXX,PE Ratio (TTM),71.00
6443,IDXX,EPS (TTM),8.72
6444,IDXX,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
6445,IDXX,Forward Dividend & Yield,N/A (N/A)
6446,IDXX,Ex-Dividend Date,N/A
6447,IDXX,1y Target Est,701.00
6448,IDXX,Symbol,Last Price
6449,IDXX,ZTSZoetis Inc.,216.06
6450,IDXX,MASIMasimo Corporation,298.78
6451,IDXX,"DXCMDexCom, Inc.",641.95
6452,IDXX,"ALGNAlign Technology, Inc.",680.19
6453,IDXX,ZBRAZebra Technologies Corporation,590.76
6460,INFO,Previous Close,125.55
6461,INFO,Open,125.93
6462,INFO,Bid,0.00 x 800
6463,INFO,Ask,0.00 x 900
6464,INFO,Day's Range,125.84 - 129.96
6465,INFO,52 Week Range,83.26 - 131.40
6466,INFO,Volume,"4,499,081"
6467,INFO,Avg. Volume,"2,186,412"
6468,INFO,Market Cap,51.259B
6469,INFO,Beta (5Y Monthly),0.99
6470,INFO,PE Ratio (TTM),82.92
6471,INFO,EPS (TTM),1.55
6472,INFO,Earnings Date,"Jan 11, 2022 - Jan 17, 2022"
6473,INFO,Forward Dividend & Yield,0.80 (0.64%)
6474,INFO,Ex-Dividend Date,"Oct 28, 2021"
6475,INFO,1y Target Est,139.14
6476,INFO,Symbol,Last Price
6477,INFO,ALLEAllegion plc,134.04
6478,INFO,"VRSKVerisk Analytics, Inc.",218.03
6479,INFO,IQVIQVIA Holdings Inc.,251.81
6480,INFO,WLTWWillis Towers Watson Public Limited Company,229.36
6481,INFO,FTVFortive Corporation,78.03
6488,ITW,Previous Close,238.59
6489,ITW,Open,238.99
6490,ITW,Bid,0.00 x 800
6491,ITW,Ask,0.00 x 800
6492,ITW,Day's Range,238.18 - 241.61
6493,ITW,52 Week Range,192.89 - 242.07
6494,ITW,Volume,"741,819"
6495,ITW,Avg. Volume,"895,733"
6496,ITW,Market Cap,75.024B
6497,ITW,Beta (5Y Monthly),1.13
6498,ITW,PE Ratio (TTM),27.80
6499,ITW,EPS (TTM),8.60
6500,ITW,Earnings Date,"Feb 03, 2022 - Feb 07, 2022"
6501,ITW,Forward Dividend & Yield,4.88 (2.05%)
6502,ITW,Ex-Dividend Date,"Dec 30, 2021"
6503,ITW,1y Target Est,236.50
6504,ITW,Symbol,Last Price
6505,ITW,DOVDover Corporation,173.50
6506,ITW,"GWWW.W. Grainger, Inc.",484.42
6507,ITW,EMREmerson Electric Co.,96.38
6508,ITW,GPCGenuine Parts Company,137.01
6509,ITW,"APDAir Products and Chemicals, Inc.",303.80
6516,ILMN,Previous Close,383.45
6517,ILMN,Open,384.48
6518,ILMN,Bid,0.00 x 800
6519,ILMN,Ask,399.10 x 1200
6520,ILMN,Day's Range,378.60 - 388.84
6521,ILMN,52 Week Range,292.65 - 555.77
6522,ILMN,Volume,"844,249"
6523,ILMN,Avg. Volume,"843,826"
6524,ILMN,Market Cap,59.933B
6525,ILMN,Beta (5Y Monthly),0.86
6526,ILMN,PE Ratio (TTM),62.03
6527,ILMN,EPS (TTM),6.11
6528,ILMN,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
6529,ILMN,Forward Dividend & Yield,N/A (N/A)
6530,ILMN,Ex-Dividend Date,N/A
6531,ILMN,1y Target Est,438.69
6532,ILMN,Symbol,Last Price
6533,ILMN,"REGNRegeneron Pharmaceuticals, Inc.",647.73
6534,ILMN,VRTXVertex Pharmaceuticals Incorporated,186.86
6535,ILMN,"ISRGIntuitive Surgical, Inc.",353.56
6536,ILMN,CRSPCRISPR Therapeutics AG,85.08
6537,ILMN,BIIBBiogen Inc.,271.82
6544,INCY,Previous Close,65.39
6545,INCY,Open,65.60
6546,INCY,Bid,65.11 x 1300
6547,INCY,Ask,65.14 x 1100
6548,INCY,Day's Range,64.34 - 65.73
6549,INCY,52 Week Range,61.91 - 101.47
6550,INCY,Volume,"1,012,415"
6551,INCY,Avg. Volume,"1,606,655"
6552,INCY,Market Cap,14.409B
6553,INCY,Beta (5Y Monthly),0.75
6554,INCY,PE Ratio (TTM),27.04
6555,INCY,EPS (TTM),2.41
6556,INCY,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
6557,INCY,Forward Dividend & Yield,N/A (N/A)
6558,INCY,Ex-Dividend Date,N/A
6559,INCY,1y Target Est,94.33
6560,INCY,Symbol,Last Price
6561,INCY,VRTXVertex Pharmaceuticals Incorporated,185.96
6562,INCY,BMRNBioMarin Pharmaceutical Inc.,81.74
6563,INCY,SGENSeagen Inc.,176.68
6564,INCY,"REGNRegeneron Pharmaceuticals, Inc.",627.89
6565,INCY,"EXELExelixis, Inc.",17.92
6572,INTC,Previous Close,50.53
6573,INTC,Open,50.60
6574,INTC,Bid,50.33 x 1400
6575,INTC,Ask,50.36 x 3000
6576,INTC,Day's Range,50.18 - 50.90
6577,INTC,52 Week Range,44.70 - 68.49
6578,INTC,Volume,"20,838,297"
6579,INTC,Avg. Volume,"24,716,306"
6580,INTC,Market Cap,204.611B
6581,INTC,Beta (5Y Monthly),0.51
6582,INTC,PE Ratio (TTM),9.75
6583,INTC,EPS (TTM),5.16
6584,INTC,Earnings Date,"Jan 19, 2022 - Jan 24, 2022"
6585,INTC,Forward Dividend & Yield,1.39 (2.75%)
6586,INTC,Ex-Dividend Date,"Nov 04, 2021"
6587,INTC,1y Target Est,55.14
6588,INTC,Symbol,Last Price
6589,INTC,"CSCOCisco Systems, Inc.",56.82
6590,INTC,"AMDAdvanced Micro Devices, Inc.",147.89
6591,INTC,MSFTMicrosoft Corporation,336.72
6592,INTC,IBMInternational Business Machines Corporation,118.96
6593,INTC,AAPLApple Inc.,149.99
6600,ICE,Previous Close,135.29
6601,ICE,Open,135.67
6602,ICE,Bid,0.00 x 800
6603,ICE,Ask,0.00 x 800
6604,ICE,Day's Range,134.83 - 136.15
6605,ICE,52 Week Range,98.75 - 139.79
6606,ICE,Volume,"1,205,583"
6607,ICE,Avg. Volume,"2,227,686"
6608,ICE,Market Cap,76.223B
6609,ICE,Beta (5Y Monthly),0.81
6610,ICE,PE Ratio (TTM),24.96
6611,ICE,EPS (TTM),5.42
6612,ICE,Earnings Date,"Feb 03, 2022"
6613,ICE,Forward Dividend & Yield,1.32 (0.98%)
6614,ICE,Ex-Dividend Date,"Dec 16, 2021"
6615,ICE,1y Target Est,154.47
6616,ICE,Symbol,Last Price
6617,ICE,CMECME Group Inc.,226.68
6618,ICE,"NDAQNasdaq, Inc.",209.73
6619,ICE,"CBOECboe Global Markets, Inc.",131.00
6620,ICE,SPGIS&P Global Inc.,459.28
6621,ICE,MCOMoody's Corporation,390.78
6628,IBM,Previous Close,122.90
6629,IBM,Open,122.56
6630,IBM,Bid,120.87 x 1000
6631,IBM,Ask,120.88 x 900
6632,IBM,Day's Range,120.26 - 122.82
6633,IBM,52 Week Range,108.49 - 146.12
6634,IBM,Volume,"5,267,639"
6635,IBM,Avg. Volume,"4,965,824"
6636,IBM,Market Cap,108.311B
6637,IBM,Beta (5Y Monthly),1.10
6638,IBM,PE Ratio (TTM),22.87
6639,IBM,EPS (TTM),5.28
6640,IBM,Earnings Date,"Jan 24, 2022"
6641,IBM,Forward Dividend & Yield,6.56 (5.27%)
6642,IBM,Ex-Dividend Date,"Nov 09, 2021"
6643,IBM,1y Target Est,149.45
6644,IBM,Symbol,Last Price
6645,IBM,"CSCOCisco Systems, Inc.",57.44
6646,IBM,INTCIntel Corporation,51.10
6647,IBM,ORCLOracle Corporation,94.38
6648,IBM,JNJJohnson & Johnson,162.68
6649,IBM,WMTWalmart Inc.,149.16
6656,IP,Previous Close,49.28
6657,IP,Open,49.40
6658,IP,Bid,0.00 x 900
6659,IP,Ask,0.00 x 800
6660,IP,Day's Range,49.04 - 49.48
6661,IP,52 Week Range,44.02 - 61.81
6662,IP,Volume,"2,475,546"
6663,IP,Avg. Volume,"2,511,116"
6664,IP,Market Cap,19.15B
6665,IP,Beta (5Y Monthly),0.96
6666,IP,PE Ratio (TTM),10.89
6667,IP,EPS (TTM),4.54
6668,IP,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
6669,IP,Forward Dividend & Yield,1.85 (3.75%)
6670,IP,Ex-Dividend Date,"Nov 12, 2021"
6671,IP,1y Target Est,57.36
6672,IP,Symbol,Last Price
6673,IP,"DDDuPont de Nemours, Inc.",78.77
6674,IP,WYWeyerhaeuser Company,37.41
6675,IP,HONHoneywell International Inc.,222.47
6676,IP,KMBKimberly-Clark Corporation,134.78
6677,IP,AAAlcoa Corporation,50.63
6684,IPG,Previous Close,37.08
6685,IPG,Open,37.08
6686,IPG,Bid,36.13 x 1000
6687,IPG,Ask,36.91 x 1200
6688,IPG,Day's Range,36.65 - 37.78
6689,IPG,52 Week Range,17.57 - 39.35
6690,IPG,Volume,"3,087,788"
6691,IPG,Avg. Volume,"3,433,772"
6692,IPG,Market Cap,14.548B
6693,IPG,Beta (5Y Monthly),N/A
6694,IPG,PE Ratio (TTM),20.87
6695,IPG,EPS (TTM),1.77
6696,IPG,Earnings Date,"Oct 21, 2021"
6697,IPG,Forward Dividend & Yield,1.08 (2.92%)
6698,IPG,Ex-Dividend Date,"Aug 31, 2021"
6699,IPG,1y Target Est,39.33
6700,IPG,Symbol,Last Price
6701,IPG,OMCOmnicom Group Inc.,70.96
6702,IPG,IFFInternational Flavors & Fragrances Inc.,145.32
6703,IPG,NWSANews Corporation,24.07
6704,IPG,"HSTHost Hotels & Resorts, Inc.",16.89
6705,IPG,MASMasco Corporation,61.01
6712,IFF,Previous Close,151.13
6713,IFF,Open,151.20
6714,IFF,Bid,150.48 x 1000
6715,IFF,Ask,150.51 x 800
6716,IFF,Day's Range,148.90 - 151.70
6717,IFF,52 Week Range,103.94 - 157.08
6718,IFF,Volume,"842,092"
6719,IFF,Avg. Volume,"1,293,587"
6720,IFF,Market Cap,38.246B
6721,IFF,Beta (5Y Monthly),1.02
6722,IFF,PE Ratio (TTM),128.75
6723,IFF,EPS (TTM),1.17
6724,IFF,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
6725,IFF,Forward Dividend & Yield,3.16 (2.09%)
6726,IFF,Ex-Dividend Date,"Sep 23, 2021"
6727,IFF,1y Target Est,N/A
6728,IFF,Symbol,Last Price
6729,IFF,"IPGThe Interpublic Group of Companies, Inc.",36.99
6730,IFF,EMNEastman Chemical Company,115.19
6731,IFF,"GWWW.W. Grainger, Inc.",484.61
6732,IFF,SEESealed Air Corporation,64.61
6733,IFF,BLLBall Corporation,91.66
6740,INTU,Previous Close,626.99
6741,INTU,Open,628.19
6742,INTU,Bid,626.14 x 800
6743,INTU,Ask,0.00 x 800
6744,INTU,Day's Range,622.55 - 632.95
6745,INTU,52 Week Range,337.72 - 632.95
6746,INTU,Volume,"1,402,451"
6747,INTU,Avg. Volume,"1,163,323"
6748,INTU,Market Cap,177.444B
6749,INTU,Beta (5Y Monthly),1.06
6750,INTU,PE Ratio (TTM),82.82
6751,INTU,EPS (TTM),7.56
6752,INTU,Earnings Date,"Nov 18, 2021"
6753,INTU,Forward Dividend & Yield,2.72 (0.43%)
6754,INTU,Ex-Dividend Date,"Oct 07, 2021"
6755,INTU,1y Target Est,623.46
6756,INTU,Symbol,Last Price
6757,INTU,"ADSKAutodesk, Inc.",326.39
6758,INTU,ADBEAdobe Inc.,659.73
6759,INTU,"FISVFiserv, Inc.",101.84
6760,INTU,"CTXSCitrix Systems, Inc.",87.16
6761,INTU,"NOWServiceNow, Inc.",682.57
6768,ISRG,Previous Close,354.93
6769,ISRG,Open,355.51
6770,ISRG,Bid,352.91 x 1800
6771,ISRG,Ask,353.22 x 800
6772,ISRG,Day's Range,351.96 - 357.19
6773,ISRG,52 Week Range,227.47 - 369.69
6774,ISRG,Volume,"288,801"
6775,ISRG,Avg. Volume,"1,553,731"
6776,ISRG,Market Cap,126.508B
6777,ISRG,Beta (5Y Monthly),1.05
6778,ISRG,PE Ratio (TTM),76.35
6779,ISRG,EPS (TTM),4.64
6780,ISRG,Earnings Date,"Jan 19, 2022 - Jan 24, 2022"
6781,ISRG,Forward Dividend & Yield,N/A (N/A)
6782,ISRG,Ex-Dividend Date,N/A
6783,ISRG,1y Target Est,356.71
6784,ISRG,Symbol,Last Price
6785,ISRG,"ILMNIllumina, Inc.",382.97
6786,ISRG,"ALGNAlign Technology, Inc.",684.32
6787,ISRG,"TDOCTeladoc Health, Inc.",135.28
6788,ISRG,"MELIMercadoLibre, Inc.","1,632.33"
6789,ISRG,VRTXVertex Pharmaceuticals Incorporated,187.84
6796,IVZ,Previous Close,26.16
6797,IVZ,Open,26.30
6798,IVZ,Bid,0.00 x 1300
6799,IVZ,Ask,0.00 x 1800
6800,IVZ,Day's Range,26.09 - 26.47
6801,IVZ,52 Week Range,15.63 - 29.71
6802,IVZ,Volume,"2,059,195"
6803,IVZ,Avg. Volume,"4,011,641"
6804,IVZ,Market Cap,12.042B
6805,IVZ,Beta (5Y Monthly),1.23
6806,IVZ,PE Ratio (TTM),10.32
6807,IVZ,EPS (TTM),2.53
6808,IVZ,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
6809,IVZ,Forward Dividend & Yield,0.68 (2.60%)
6810,IVZ,Ex-Dividend Date,"Nov 10, 2021"
6811,IVZ,1y Target Est,N/A
6812,IVZ,Symbol,Last Price
6813,IVZ,"BENFranklin Resources, Inc.",35.74
6814,IVZ,LNCLincoln National Corporation,74.60
6815,IVZ,"HSTHost Hotels & Resorts, Inc.",17.92
6816,IVZ,UNMUnum Group,26.54
6817,IVZ,"IPGThe Interpublic Group of Companies, Inc.",36.13
6824,IPGP,Previous Close,175.66
6825,IPGP,Open,172.66
6826,IPGP,Bid,168.45 x 800
6827,IPGP,Ask,170.20 x 900
6828,IPGP,Day's Range,168.00 - 172.82
6829,IPGP,52 Week Range,151.27 - 262.55
6830,IPGP,Volume,"451,010"
6831,IPGP,Avg. Volume,"333,567"
6832,IPGP,Market Cap,9.007B
6833,IPGP,Beta (5Y Monthly),1.34
6834,IPGP,PE Ratio (TTM),34.70
6835,IPGP,EPS (TTM),4.87
6836,IPGP,Earnings Date,"Nov 02, 2021"
6837,IPGP,Forward Dividend & Yield,N/A (N/A)
6838,IPGP,Ex-Dividend Date,"Dec 19, 2012"
6839,IPGP,1y Target Est,219.40
6840,IPGP,Symbol,Last Price
6841,IPGP,"COHRCoherent, Inc.",258.51
6842,IPGP,"ANSSANSYS, Inc.",409.97
6843,IPGP,"ITGartner, Inc.",330.71
6844,IPGP,"JKHYJack Henry & Associates, Inc.",158.65
6845,IPGP,"FLTFLEETCOR Technologies, Inc.",241.75
6852,IQV,Previous Close,261.42
6853,IQV,Open,261.82
6854,IQV,Bid,258.97 x 800
6855,IQV,Ask,259.30 x 1000
6856,IQV,Day's Range,257.17 - 263.69
6857,IQV,52 Week Range,154.24 - 265.34
6858,IQV,Volume,"436,559"
6859,IQV,Avg. Volume,"649,621"
6860,IQV,Market Cap,49.447B
6861,IQV,Beta (5Y Monthly),1.43
6862,IQV,PE Ratio (TTM),65.88
6863,IQV,EPS (TTM),3.93
6864,IQV,Earnings Date,"Oct 21, 2021"
6865,IQV,Forward Dividend & Yield,N/A (N/A)
6866,IQV,Ex-Dividend Date,N/A
6867,IQV,1y Target Est,288.22
6868,IQV,Symbol,Last Price
6869,IQV,MTDMettler-Toledo International Inc.,"1,444.44"
6870,IQV,INFOIHS Markit Ltd.,127.05
6871,IQV,WLTWWillis Towers Watson Public Limited Company,237.64
6872,IQV,ALLEAllegion plc,129.92
6873,IQV,FTVFortive Corporation,76.61
6880,IRM,Previous Close,47.55
6881,IRM,Open,47.82
6882,IRM,Bid,0.00 x 800
6883,IRM,Ask,0.00 x 900
6884,IRM,Day's Range,47.69 - 49.00
6885,IRM,52 Week Range,25.47 - 49.58
6886,IRM,Volume,"1,668,673"
6887,IRM,Avg. Volume,"1,478,203"
6888,IRM,Market Cap,14.176B
6889,IRM,Beta (5Y Monthly),0.82
6890,IRM,PE Ratio (TTM),22.28
6891,IRM,EPS (TTM),2.20
6892,IRM,Earnings Date,"Nov 04, 2021"
6893,IRM,Forward Dividend & Yield,2.47 (5.20%)
6894,IRM,Ex-Dividend Date,"Dec 14, 2021"
6895,IRM,1y Target Est,43.13
6896,IRM,Symbol,Last Price
6897,IRM,WPCW. P. Carey Inc.,78.76
6898,IRM,"VTRVentas, Inc.",54.37
6899,IRM,ORealty Income Corporation,71.14
6900,IRM,"MPWMedical Properties Trust, Inc.",21.76
6901,IRM,"DLRDigital Realty Trust, Inc.",161.20
6908,JKHY,Previous Close,159.04
6909,JKHY,Open,159.42
6910,JKHY,Bid,75.73 x 1100
6911,JKHY,Ask,161.88 x 900
6912,JKHY,Day's Range,158.41 - 162.50
6913,JKHY,52 Week Range,141.65 - 179.98
6914,JKHY,Volume,"610,130"
6915,JKHY,Avg. Volume,"405,625"
6916,JKHY,Market Cap,11.97B
6917,JKHY,Beta (5Y Monthly),0.59
6918,JKHY,PE Ratio (TTM),37.60
6919,JKHY,EPS (TTM),4.30
6920,JKHY,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
6921,JKHY,Forward Dividend & Yield,1.84 (1.16%)
6922,JKHY,Ex-Dividend Date,"Sep 08, 2021"
6923,JKHY,1y Target Est,178.00
6924,JKHY,Symbol,Last Price
6925,JKHY,"ANSSANSYS, Inc.",392.66
6926,JKHY,"ROLRollins, Inc.",35.76
6927,JKHY,"ITGartner, Inc.",329.53
6928,JKHY,MKTXMarketAxess Holdings Inc.,388.74
6929,JKHY,IEXIDEX Corporation,235.54
6936,J,Previous Close,145.42
6937,J,Open,146.23
6938,J,Bid,0.00 x 800
6939,J,Ask,0.00 x 800
6940,J,Day's Range,145.15 - 147.63
6941,J,52 Week Range,100.05 - 147.63
6942,J,Volume,"436,908"
6943,J,Avg. Volume,"492,393"
6944,J,Market Cap,18.953B
6945,J,Beta (5Y Monthly),0.85
6946,J,PE Ratio (TTM),41.52
6947,J,EPS (TTM),3.50
6948,J,Earnings Date,"Nov 23, 2021"
6949,J,Forward Dividend & Yield,0.84 (0.58%)
6950,J,Ex-Dividend Date,"Oct 14, 2021"
6951,J,1y Target Est,155.77
6952,J,Symbol,Last Price
6953,J,TTTrane Technologies plc,191.14
6954,J,ALLEAllegion plc,134.04
6955,J,GLGlobe Life Inc.,94.58
6956,J,IEXIDEX Corporation,234.61
6957,J,FTVFortive Corporation,78.03
6964,JBHT,Previous Close,199.21
6965,JBHT,Open,199.07
6966,JBHT,Bid,200.89 x 800
6967,JBHT,Ask,201.07 x 800
6968,JBHT,Day's Range,199.07 - 201.08
6969,JBHT,52 Week Range,129.60 - 202.49
6970,JBHT,Volume,"112,758"
6971,JBHT,Avg. Volume,"510,639"
6972,JBHT,Market Cap,21.089B
6973,JBHT,Beta (5Y Monthly),1.09
6974,JBHT,PE Ratio (TTM),31.88
6975,JBHT,EPS (TTM),6.30
6976,JBHT,Earnings Date,"Jan 18, 2022"
6977,JBHT,Forward Dividend & Yield,1.20 (0.60%)
6978,JBHT,Ex-Dividend Date,"Nov 04, 2021"
6979,JBHT,1y Target Est,194.32
6980,JBHT,Symbol,Last Price
6981,JBHT,"LSTRLandstar System, Inc.",180.18
6982,JBHT,"CHRWC.H. Robinson Worldwide, Inc.",94.50
6983,JBHT,"ODFLOld Dominion Freight Line, Inc.",359.54
6984,JBHT,"EXPDExpeditors International of Washington, Inc.",127.40
6985,JBHT,"WERNWerner Enterprises, Inc.",47.41
6992,SJM,Previous Close,127.10
6993,SJM,Open,127.10
6994,SJM,Bid,0.00 x 1100
6995,SJM,Ask,0.00 x 1400
6996,SJM,Day's Range,126.75 - 129.10
6997,SJM,52 Week Range,110.53 - 140.65
6998,SJM,Volume,"579,148"
6999,SJM,Avg. Volume,"787,560"
7000,SJM,Market Cap,13.97B
7001,SJM,Beta (5Y Monthly),0.32
7002,SJM,PE Ratio (TTM),18.06
7003,SJM,EPS (TTM),7.14
7004,SJM,Earnings Date,"Nov 23, 2021"
7005,SJM,Forward Dividend & Yield,3.96 (3.12%)
7006,SJM,Ex-Dividend Date,"Nov 10, 2021"
7007,SJM,1y Target Est,125.43
7008,SJM,Symbol,Last Price
7009,SJM,"MKCMcCormick & Company, Incorporated",82.69
7010,SJM,HRLHormel Foods Corporation,43.43
7011,SJM,CPBCampbell Soup Company,41.73
7012,SJM,KKellogg Company,63.91
7013,SJM,"GISGeneral Mills, Inc.",63.70
7020,JNJ,Previous Close,163.06
7021,JNJ,Open,167.43
7022,JNJ,Bid,0.00 x 1100
7023,JNJ,Ask,0.00 x 1800
7024,JNJ,Day's Range,164.61 - 167.62
7025,JNJ,52 Week Range,142.86 - 179.92
7026,JNJ,Volume,"18,995,209"
7027,JNJ,Avg. Volume,"6,471,078"
7028,JNJ,Market Cap,434.405B
7029,JNJ,Beta (5Y Monthly),0.70
7030,JNJ,PE Ratio (TTM),24.66
7031,JNJ,EPS (TTM),6.69
7032,JNJ,Earnings Date,"Jan 25, 2022"
7033,JNJ,Forward Dividend & Yield,4.24 (2.57%)
7034,JNJ,Ex-Dividend Date,"Nov 22, 2021"
7035,JNJ,1y Target Est,187.35
7036,JNJ,Symbol,Last Price
7037,JNJ,PGThe Procter & Gamble Company,146.56
7038,JNJ,PFEPfizer Inc.,49.73
7039,JNJ,"MRKMerck & Co., Inc.",84.00
7040,JNJ,KOThe Coca-Cola Company,56.61
7041,JNJ,WMTWalmart Inc.,147.76
7048,JCI,Previous Close,78.20
7049,JCI,Open,77.84
7050,JCI,Bid,0.00 x 1100
7051,JCI,Ask,0.00 x 1800
7052,JCI,Day's Range,77.84 - 79.12
7053,JCI,52 Week Range,44.11 - 79.12
7054,JCI,Volume,"4,133,530"
7055,JCI,Avg. Volume,"3,600,150"
7056,JCI,Market Cap,55.789B
7057,JCI,Beta (5Y Monthly),1.11
7058,JCI,PE Ratio (TTM),34.48
7059,JCI,EPS (TTM),2.27
7060,JCI,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
7061,JCI,Forward Dividend & Yield,1.08 (1.38%)
7062,JCI,Ex-Dividend Date,"Sep 24, 2021"
7063,JCI,1y Target Est,N/A
7064,JCI,Symbol,Last Price
7065,JCI,ITWIllinois Tool Works Inc.,239.02
7066,JCI,ETNEaton Corporation plc,172.74
7067,JCI,EMREmerson Electric Co.,96.38
7068,JCI,IRIngersoll Rand Inc.,59.05
7069,JCI,CMICummins Inc.,236.03
7076,JPM,Previous Close,169.06
7077,JPM,Open,167.35
7078,JPM,Bid,167.38 x 800
7079,JPM,Ask,167.38 x 800
7080,JPM,Day's Range,166.60 - 168.47
7081,JPM,52 Week Range,112.06 - 172.96
7082,JPM,Volume,"5,401,406"
7083,JPM,Avg. Volume,"10,281,213"
7084,JPM,Market Cap,494.323B
7085,JPM,Beta (5Y Monthly),1.14
7086,JPM,PE Ratio (TTM),10.58
7087,JPM,EPS (TTM),15.81
7088,JPM,Earnings Date,"Jan 14, 2022"
7089,JPM,Forward Dividend & Yield,4.00 (2.37%)
7090,JPM,Ex-Dividend Date,"Oct 05, 2021"
7091,JPM,1y Target Est,175.01
7092,JPM,Symbol,Last Price
7093,JPM,CCitigroup Inc.,67.89
7094,JPM,BACBank of America Corporation,46.83
7095,JPM,WFCWells Fargo & Company,49.76
7096,JPM,"GSThe Goldman Sachs Group, Inc.",402.81
7097,JPM,BAThe Boeing Company,220.74
7104,JNPR,Previous Close,32.03
7105,JNPR,Open,32.03
7106,JNPR,Bid,0.00 x 1000
7107,JNPR,Ask,0.00 x 1100
7108,JNPR,Day's Range,31.91 - 32.24
7109,JNPR,52 Week Range,21.40 - 32.58
7110,JNPR,Volume,"2,030,991"
7111,JNPR,Avg. Volume,"2,717,700"
7112,JNPR,Market Cap,10.451B
7113,JNPR,Beta (5Y Monthly),0.88
7114,JNPR,PE Ratio (TTM),71.42
7115,JNPR,EPS (TTM),0.45
7116,JNPR,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
